album_id,album_name,genre,release_date,person_count,person_details
951,Emociones en Color (Emotions in Color),Dream Pop,2025,9,952:Ming Gu (PerformerOf); 953:Xiulan Hu (PerformerOf); 954:Isabella Smith (LyricistOf/PerformerOf); 955:Na Peng (LyricistOf/PerformerOf); 956:Xiulan Lei (PerformerOf); 957:Sean Harrison (PerformerOf); 958:Ping Gong (PerformerOf); 959:Qiang Fang (PerformerOf); 960:Sabrina Jenkins (PerformerOf)
3828,Fragments of Flight,Oceanus Folk,2025,9,1337:Guiying Ding (PerformerOf); 3829:Li Zou (PerformerOf); 3830:Xiuying Du (ProducerOf); 3831:Chao Tang (LyricistOf/PerformerOf); 3832:Gang Yin (PerformerOf); 3833:Wei Chang (LyricistOf/PerformerOf); 3834:Gang Zhang (PerformerOf); 3835:Tao Lei (PerformerOf); 3836:Na Zou (PerformerOf)
5396,Miles Between Us and Memory Lane,Psychedelic Rock,2026,9,1233:Yang Yu (PerformerOf); 5397:Guiying Fu (PerformerOf); 5398:Shawn Fox (PerformerOf); 5399:Chao Liao (PerformerOf); 5400:Min Lu (ProducerOf); 5401:Xia Yu (ProducerOf); 5402:Jun Yin (PerformerOf); 5403:Juan Ding (LyricistOf); 5404:Jing Feng (PerformerOf)
14951,Postcards from Julie's Window,Indie Folk,2017,9,14952:Qiang Duan (PerformerOf); 14953:Yong Qiu (PerformerOf); 14954:Jun Liao (PerformerOf); 14955:Ming Kong (PerformerOf); 14956:Sandra Holden (PerformerOf); 14957:Yang Wu (PerformerOf); 14958:Regina Watkins (PerformerOf); 14959:Chao Fan (ComposerOf); 14960:Jie Yan (PerformerOf)
12768,Skyward Passage to the Pearl of the Aegean,Doom Metal,2015,9,9328:Gundel Klapp (ProducerOf); 12592:Clémence Vincent (PerformerOf); 12769:Jessica Lindsey (PerformerOf); 12770:Daniel Lee (PerformerOf); 12771:Christopher Reese (PerformerOf/ProducerOf); 12772:Leon Hutchinson (PerformerOf); 12773:Bobby Tucker (ComposerOf/PerformerOf); 12774:Melanie Bautista (PerformerOf); 12775:Rémy-Bertrand Bailly (ComposerOf)
11712,Synthetic Serenade,Doom Metal,2023,9,4848:Francesca Maglio (PerformerOf); 5951:Iolanda Prada (PerformerOf/ProducerOf); 9108:Karina Hess (ComposerOf/PerformerOf); 9601:Melissa Garcia (PerformerOf); 11713:Ramona Petruzzi (ComposerOf/PerformerOf); 11714:Andrew Ellison (PerformerOf); 11715:Sean Walters (PerformerOf); 11716:Inès Collet (PerformerOf); 11717:Olivier Munoz (PerformerOf)
9780,The Plaintive Pipe's Journey,Dream Pop,2029,9,754:Na Shao (ProducerOf); 2850:Min Fu (PerformerOf); 5831:Jun Dai (PerformerOf/ProducerOf); 9781:Ryan Rodriguez (PerformerOf); 9782:Karen Munoz (PerformerOf); 9783:Ping Ma (PerformerOf); 9784:Guiying Wu (PerformerOf); 9785:Qiang Pan (PerformerOf); 9786:Ping Cai (PerformerOf)
9191,Trails Beyond Horizons,Indie Folk,2017,9,3753:Graziella Saffi (PerformerOf); 9192:Alfio Greggio (PerformerOf); 9193:Bruno Silvestri (PerformerOf); 9194:Giuliana Costanzi (PerformerOf); 9195:Gilberto Cainero (PerformerOf); 9196:Raffaello Tarchetti (PerformerOf); 9197:Vincentio Galiazzo (ComposerOf/PerformerOf); 9198:Eva Squarcione (PerformerOf); 9199:Maura Chiappetta (ComposerOf/PerformerOf)
11195,Untethered Winds,Americana,2010,9,65:Sara Parker (ProducerOf); 4196:Min Lei (PerformerOf); 5049:Robert Knight (ComposerOf/PerformerOf); 8948:Jing Deng (ProducerOf); 9991:Timothy Schmidt (LyricistOf/PerformerOf); 11196:Joshua Anderson (PerformerOf); 11197:Mary Cisneros (PerformerOf); 11198:Gregory White (PerformerOf); 11199:Vanessa Clark (PerformerOf)
13446,Whispers of Earthly Delight,Dream Pop,2023,9,13447:Phillip Stone (PerformerOf); 13448:Angela Thompson (PerformerOf); 13449:Douglas Gray (PerformerOf); 13450:Steven Harris (PerformerOf/ProducerOf); 13451:Charles Thomas (PerformerOf); 13452:Michael Gibbs (ComposerOf); 13453:Brian Mathis (LyricistOf/PerformerOf); 13454:Kimberly Brown (PerformerOf); 13455:Brian Richard (PerformerOf)
12837,Anchored Dreams,Indie Folk,2027,8,2023:Qiang Tang (PerformerOf); 3690:Gang Sun (ComposerOf/PerformerOf); 9417:Fang Ding (PerformerOf); 9418:Qiang Ding (PerformerOf); 12838:Kristina Jones (PerformerOf); 12839:Xiulan Hao (ProducerOf); 12840:Xia Jiang (LyricistOf); 12841:Yan Qiu (PerformerOf/ProducerOf)
10046,Blonde Ambition,Dream Pop,2030,8,10047:Chao Xu (ProducerOf); 10048:Min Peng (PerformerOf); 10049:Jun Duan (PerformerOf); 10050:Xiulan Gu (PerformerOf); 10051:Ping Hao (LyricistOf/PerformerOf); 10052:Yong Lai (PerformerOf); 10053:Qiang Shen (ComposerOf/PerformerOf); 10054:Juan Xie (PerformerOf)
12120,Calm in the Storm's Embrace,Dream Pop,2024,8,3175:Joshua Cruz (LyricistOf/PerformerOf); 3176:Christine Gonzales (PerformerOf); 3177:Michael Holloway (PerformerOf); 12121:Anna Glass (PerformerOf); 12122:Rebecca Robinson (PerformerOf); 12123:Jamie Terry (PerformerOf); 12124:Samuel Thompson (PerformerOf); 12125:Nancy Macias (ComposerOf)
16166,Copper Penny's Memory,Synthwave,2026,8,12470:Tao Zhu (LyricistOf/PerformerOf); 12471:Xiulan Sun (PerformerOf); 12472:Jie Kang (PerformerOf); 12474:Chao Wei (PerformerOf); 16167:Xia Wan (ComposerOf); 16168:Jing Liao (PerformerOf); 16169:Thomas Gray (PerformerOf); 16170:Gang Chen (PerformerOf)
4126,Echoes from Vienna's Symphonic Heart,Speed Metal,2020,8,4127:William Carter (PerformerOf); 4128:Michael Pratt (PerformerOf); 4129:Lisa Shaw (ProducerOf); 4130:Mark Barr (ProducerOf); 4131:Kelsey Hernandez (PerformerOf); 4132:Jonathan Avila (PerformerOf); 4133:Lori Williams (PerformerOf); 4134:Dwayne Wilson (PerformerOf)
11550,Echoes of Forgotten Pavanes,Dream Pop,2020,8,3309:Stacy Watts (PerformerOf); 11551:Matthew Gardner (PerformerOf); 11552:Steven Keller (ComposerOf/PerformerOf); 11553:Lei Zhao (PerformerOf); 11554:Carrie Perry (PerformerOf); 11555:Laura Wolf (ProducerOf); 11556:Gina Cooper (PerformerOf/ProducerOf); 11557:Amy Gonzalez (PerformerOf)
7170,Echoes of Restless Hounds,Psychedelic Rock,2020,8,2387:Elizabeth Wagner (PerformerOf); 2388:Joe Taylor (ComposerOf/PerformerOf); 2389:Monica Brown (PerformerOf); 7171:Jennifer Curtis (PerformerOf); 7172:Elizabeth Adams (PerformerOf); 7173:Marc Ward (PerformerOf); 7174:Melissa Merritt (PerformerOf); 7175:Kim Washington (PerformerOf)
3451,"Empty Promises, Hollow Feelings",Psychedelic Rock,2023,8,811:Jun Jiang (ProducerOf); 812:Xia Lu (PerformerOf); 815:Yan Xiong (PerformerOf); 816:Ping Ren (ComposerOf/PerformerOf); 817:Jing Tian (PerformerOf); 820:Chao Qiu (PerformerOf); 3452:Xiulan Yang (PerformerOf); 3453:Ming Fang (PerformerOf)
11342,Fading Postcards from the Coast,Symphonic Metal,2027,8,11343:Min Yao (PerformerOf); 11344:Xia Gu (PerformerOf); 11345:Lei Huang (LyricistOf/PerformerOf); 11346:Jie Zhong (PerformerOf); 11347:Angela Kelly (PerformerOf); 11348:Wei Wang (ComposerOf); 11349:Xiuying Han (PerformerOf); 11350:Chao Tao (PerformerOf)
11300,Flipped Frontier,Dream Pop,2020,8,8129:Juan Fu (ComposerOf); 8130:Samuel Gutierrez (PerformerOf); 8134:Wulf Lübs (PerformerOf); 8136:Li Yang (PerformerOf); 10912:Guiying Dai (PerformerOf); 10914:Min Wen (LyricistOf); 11301:Jared Mercer (PerformerOf); 11302:Kim Knight (PerformerOf)
12710,Karelia's Forgotten Echo,Dream Pop,2009,8,2050:Na Lai (PerformerOf); 12711:Wei Du (PerformerOf); 12712:Jun Yi (PerformerOf); 12713:Jing Tang (PerformerOf/ProducerOf); 12714:Yang Lin (PerformerOf); 12715:Lei Zhang (LyricistOf/PerformerOf); 12716:Li Liao (PerformerOf); 12717:Jing Song (PerformerOf)
8138,Nightmare's Embrace,Dream Pop,2006,8,8139:Dennis Hill PhD (PerformerOf); 8140:Min Mo (PerformerOf); 8141:Yong Qiu (PerformerOf); 8142:Christine Robbins (PerformerOf/ProducerOf); 8143:Min Yu (PerformerOf); 8144:Yong Lin (PerformerOf); 8145:Gang Yu (PerformerOf); 8146:Ming Hu (PerformerOf)
2873,Symphonic Snowfall,Symphonic Metal,2023,8,779:Yang Zhao (ComposerOf); 2546:Erdogan Baum (LyricistOf/PerformerOf); 2588:Jun Mao (ComposerOf); 2874:Yang Kong (PerformerOf); 2875:Ping Luo (PerformerOf); 2876:Min Cai (PerformerOf); 2877:Juan Zhong (PerformerOf); 2878:Anaïs Wagner (ProducerOf)
155,Tales Without Words,Indie Folk,2010,8,156:Andrzej Schottin-Mühle (LyricistOf); 157:Daria Boucsein (PerformerOf); 158:Orhan Krein (PerformerOf); 159:Ashley Waters (PerformerOf); 160:Hans-Theo Eckbauer-Dehmel (PerformerOf); 161:Sophia Baracca-Solimena (PerformerOf); 162:Mia Carsten (LyricistOf/PerformerOf); 163:Regina Hesse (PerformerOf)
17261,The Kelp Forest Canticles,Oceanus Folk,2024,8,"17164:Rusty Riggins (LyricistOf); 17165:Finn McGraw (ComposerOf); 17166:William Tidewell (ComposerOf); 17255:Sailor Shift (LyricistOf); 17256:Maya Jensen (ComposerOf); 17257:Lila ""Lilly"" Hartman (ComposerOf); 17258:Jade Thompson (ComposerOf); 17259:Sophie Ramirez (LyricistOf)"
6435,Triumph's Embrace,Space Rock,2024,8,2603:Gang Zhang (LyricistOf); 6436:Xiuying Ma (ProducerOf); 6437:Na Fan (ComposerOf/PerformerOf); 6438:Jun Song (PerformerOf); 6439:Christine Martin (PerformerOf); 6440:Chao Jiang (PerformerOf); 6441:Li Jia (LyricistOf); 6442:Lei Du (ProducerOf)
10928,Whispers in the Shadows,Dream Pop,2022,8,7214:Fang Cui (PerformerOf); 7215:Jing Mao (ComposerOf); 7216:Lei Qiu (ComposerOf/PerformerOf); 7217:Min Kong (LyricistOf); 7218:Li Song (ProducerOf); 7220:Li Sun (ProducerOf); 10929:Na Wan (PerformerOf); 10930:Na Cui (PerformerOf)
10728,Whispers of Childhood,Synthwave,2023,8,4503:Fredo Grossi (PerformerOf/ProducerOf); 4664:Antonietta Ceravolo-Condoleo (PerformerOf); 4665:Gino Michelangeli (PerformerOf); 9178:Bianca Sagnelli-Onio (LyricistOf); 9179:Fernanda Guarneri (PerformerOf); 10536:Kunigunde Pechel (PerformerOf); 10537:Hortense du Dijoux (PerformerOf); 10729:Pierluigi Telesio (LyricistOf/PerformerOf)
2963,Whispers of the Heart's Embrace,Post-Apocalyptic Folk,2020,8,1802:Chao Wan (ComposerOf/PerformerOf); 2964:Robert Combs (ProducerOf); 2965:Leah Burns (ComposerOf/PerformerOf); 2966:Min Lei (LyricistOf/PerformerOf); 2967:Qiang Hu (PerformerOf); 2968:Gang Qin (LyricistOf); 2969:Xiuying Bai (PerformerOf); 2970:Lei Shen (PerformerOf)
642,Whispers to Steven,Darkwave,2010,8,643:Min Chang (ComposerOf/PerformerOf); 644:Qiang Shi (LyricistOf/PerformerOf); 645:Lei Yi (ProducerOf); 646:Hans-H. Jacobi Jäckel (PerformerOf); 647:Jie Gu (PerformerOf); 648:Jie Zheng (PerformerOf/ProducerOf); 649:Na Pan (PerformerOf); 650:Gang Liao (LyricistOf)
14537,Wildly in Love,Symphonic Metal,2007,8,299:Ingbert Hertrampf (LyricistOf/PerformerOf); 300:Klaus-Günter Kensy (ComposerOf/PerformerOf); 302:Cindy Lübs (PerformerOf); 303:Corinna Gute (PerformerOf); 304:Belinda Knappe (LyricistOf/PerformerOf); 1497:Horst Barkholz (ProducerOf); 9203:Bogdan Gehringer (PerformerOf); 12427:Fredy Lange (PerformerOf)
16729,Battlefield Solitude,Oceanus Folk,2029,7,3678:Jun Shao (PerformerOf/ProducerOf); 3681:Guiying Xia (PerformerOf); 14487:Thomas Ball (LyricistOf/PerformerOf); 16730:Na Guo (LyricistOf); 16731:Guiying Dong (PerformerOf); 16732:Na Peng (PerformerOf); 16733:Na Jiang (PerformerOf)
15325,Birthright Anthem,Indie Folk,2013,7,7143:Ming Xiang (LyricistOf/PerformerOf); 15326:Lisa Steele (PerformerOf/ProducerOf); 15327:Yang Ye (PerformerOf); 15328:Xiulan Xiang (PerformerOf); 15329:Min Xu (ProducerOf); 15330:Jun Duan (PerformerOf); 15331:Xia Wan (ComposerOf/PerformerOf)
7080,Celestial Conscience,Indie Folk,2020,7,6667:Ming Zhu (PerformerOf); 6668:Li Shen (ComposerOf/PerformerOf); 7081:Na Yuan (PerformerOf); 7082:Jing Fang (PerformerOf); 7083:Lei Deng (PerformerOf); 7084:Yan Deng (PerformerOf); 7085:Wendy Brown (PerformerOf)
10507,Comfortable in Stasis,Psychedelic Rock,2022,7,8271:Kathryn Golden (PerformerOf); 9367:Karen Anderson (PerformerOf); 10508:Tammy Turner (LyricistOf); 10509:Kristina Jackson (PerformerOf/ProducerOf); 10510:Martin Ramirez (PerformerOf); 10511:Devin Wallace (PerformerOf); 10512:Jacob Garcia (PerformerOf)
8511,Dance of the Poisoned Limbs,Jazz Surf Rock,2025,7,1871:Jie Cai (PerformerOf); 6098:Antonietta Kreusel-Seip (PerformerOf); 7343:Wei Tian (LyricistOf/PerformerOf); 8512:Eddie Taylor (PerformerOf); 8513:Jie Yao (ComposerOf/PerformerOf); 8514:Ming Kong (PerformerOf); 8515:Annegrete Röhrdanz (PerformerOf)
653,Dear Steven (Before You Know),Psychedelic Rock,2023,7,654:Guiying Zhou (PerformerOf); 655:Lei Fan (PerformerOf); 656:Yang Cui (LyricistOf/PerformerOf); 657:Min Liao (PerformerOf); 658:Min Xie (PerformerOf); 659:Li Mo (PerformerOf); 660:Xiuying Mao (ComposerOf)
7484,Disconnected,Synthwave,2010,7,314:Cristian Bonilla (PerformerOf); 317:Gang Bai (ComposerOf/PerformerOf); 824:Ming Gu (LyricistOf); 2864:Yang Zhao (PerformerOf); 7485:Jun Chen (PerformerOf); 7486:Min Xie (PerformerOf/ProducerOf); 7487:Ming Xu (ProducerOf)
7213,Ephemeral Beauty's Embrace,Indie Folk,2029,7,7214:Fang Cui (PerformerOf); 7215:Jing Mao (LyricistOf/PerformerOf); 7216:Lei Qiu (PerformerOf); 7217:Min Kong (PerformerOf); 7218:Li Song (PerformerOf); 7219:Hannah Richards (PerformerOf); 7220:Li Sun (PerformerOf)
11485,Eternal Connection,Oceanus Folk,2010,7,1843:Chao Tan (PerformerOf); 4740:Victoria Higgins (PerformerOf); 11486:Wei Qian (PerformerOf); 11487:Nicholas Porter (PerformerOf); 11488:Xiuying Jia (PerformerOf); 11489:Christine Turner (PerformerOf); 11490:Li Dai (PerformerOf)
11985,"Faithful Travelers, Guided Home",Indie Folk,2020,7,904:Min Duan (PerformerOf); 905:Daniel Mitchell (LyricistOf); 6528:Vanessa Ramos (PerformerOf/ProducerOf); 11791:Bradley Brooks (PerformerOf); 11986:Xiulan Xie (PerformerOf); 11987:Yang Jia (PerformerOf); 11988:Ming Yao (PerformerOf)
6597,Head Over Heels for You,Dream Pop,2029,7,3639:Wei Yin (ComposerOf/PerformerOf); 5106:Yan Liang (PerformerOf/ProducerOf); 6598:Yan Liu (PerformerOf); 6599:Jun Du (PerformerOf); 6600:Tao Deng (ComposerOf); 6601:Jing Ren (LyricistOf); 6602:Qiang Wu (PerformerOf)
12401,Hidden Reflections,Americana,2027,7,1074:Jing Cui (ProducerOf); 11856:Xiulan Fu (ComposerOf); 12402:Li Fan (LyricistOf/PerformerOf); 12403:Kathryn Garcia (LyricistOf/PerformerOf); 12404:Yong Wei (PerformerOf); 12405:Susan Holmes (PerformerOf); 12406:Xiulan Meng (PerformerOf)
1729,Midway Mirage,Dream Pop,2013,7,1730:Debra Bates (ProducerOf); 1731:Melanie Barker (ComposerOf); 1732:Brianna Tucker (ComposerOf); 1733:Matthew Hickman (PerformerOf); 1734:Christina Berry (PerformerOf); 1735:Jeffery Koch (PerformerOf); 1736:Nicole Gray (PerformerOf)
6092,Nebula's Embrace,Desert Rock,2029,7,6093:Na Cao (ProducerOf); 6094:Tao Meng (PerformerOf); 6095:Wayne Wilson (LyricistOf/PerformerOf); 6096:Na Tan (ComposerOf); 6097:Hector Smith (LyricistOf); 6098:Antonietta Kreusel-Seip (PerformerOf); 6099:Yong Gong (PerformerOf)
12073,Nekonečná Moudrost Stvořitelova,Doom Metal,2020,7,2172:Monica Nelson (PerformerOf/ProducerOf); 11188:Sean Mcconnell (PerformerOf); 12074:Tracy Jones (PerformerOf); 12075:Michele Johnson (PerformerOf); 12076:Tina Cook (PerformerOf); 12077:Elizabeth Chase (ProducerOf); 12078:Matthew Mclean (PerformerOf)
7441,Nothing Left Untried,Desert Rock,2030,7,959:Qiang Fang (LyricistOf/PerformerOf); 5781:Fang Xiong (PerformerOf); 7442:Yan Liu (LyricistOf/PerformerOf); 7443:Wei Gu (PerformerOf); 7444:Lei Shi (PerformerOf); 7445:Xiuying Guo (PerformerOf); 7446:Jing Guo (PerformerOf)
15995,Pardoning Wilderness,Dream Pop,2020,7,7228:Andrew Morrison (PerformerOf); 7230:James Martinez (PerformerOf); 7231:Jessica Baxter (PerformerOf); 7232:Hannah Elliott (PerformerOf); 7233:Kenneth Crosby (PerformerOf); 15996:Cesar Mcpherson (PerformerOf); 15997:Amy Frazier (PerformerOf)
5808,Reflections of Us,Indie Folk,2013,7,1953:Xiuying Dai (LyricistOf/PerformerOf); 1954:Yong Fu (LyricistOf/PerformerOf); 2591:Theresa Rivera (PerformerOf); 5809:Chao Yi (ComposerOf/PerformerOf); 5810:Yong Cui (PerformerOf); 5811:Samantha Mills (PerformerOf); 5812:Li Dong (ComposerOf)
8332,Roots and Lullabies,Americana,2020,7,3812:Fang Meng (PerformerOf); 4096:Tao Wen (PerformerOf); 4097:Courtney Carroll (PerformerOf); 4098:Guiying Liao (ProducerOf); 5619:Wei Han (PerformerOf); 8333:Jing Liu (PerformerOf); 8334:Wei Xia (PerformerOf)
533,Rough Schematic,Dream Pop,2023,7,534:Jie Shen (ComposerOf); 535:Guiying Pan (ComposerOf/PerformerOf); 536:Juan Zeng (PerformerOf); 537:Jie Yao (PerformerOf/ProducerOf); 538:Na Hu (LyricistOf); 539:Chao Yang (ProducerOf); 540:Rei Ito (PerformerOf)
16432,Sabers and Silk,Desert Rock,2025,7,6525:Kristin Anderson (ComposerOf/PerformerOf); 6528:Vanessa Ramos (PerformerOf); 10742:Scott Mckinney (PerformerOf); 10744:Terry Gonzalez (PerformerOf); 10745:Peter Jacobi Jäckel (PerformerOf); 12614:Jun Liu (PerformerOf); 12615:Joseph Trujillo (ComposerOf/PerformerOf)
1671,Scarred Snout Serenade,Darkwave,2026,7,1672:Herr Karl-Josef Roskoth (PerformerOf/ProducerOf); 1673:Élise François-Berthelot (PerformerOf); 1674:Doris Becker (ProducerOf); 1675:Noël Loiseau (PerformerOf); 1676:Siegmar Heintze (PerformerOf); 1677:Henriette Duval (PerformerOf); 1678:Thibault Ollivier (PerformerOf)
14629,Sessiz Acılar,Dream Pop,2022,7,14630:Anay Vohra (LyricistOf); 14631:Miraan Ramachandran (ComposerOf/PerformerOf); 14632:Aradhya Maharaj (PerformerOf); 14633:Ritvik Lanka (LyricistOf); 14634:Rania Deol (PerformerOf); 14635:Aarush Shukla (PerformerOf); 14636:Pranay Sarin (PerformerOf)
6177,Shadows Before Nightfall,Americana,2010,7,1074:Jing Cui (ComposerOf/PerformerOf); 1276:Yong Dong (PerformerOf); 2400:Yan Tang (PerformerOf); 3988:Qiang Liu (PerformerOf); 5459:Tao Jin (PerformerOf); 6178:Yang Long (PerformerOf); 6179:Xiulan Xue (PerformerOf)
16597,Silicon Citizen,Dream Pop,2032,7,1493:Lei Jin (LyricistOf); 15477:Ping Zeng (PerformerOf); 16598:Guiying Meng (PerformerOf); 16599:Juan Fang (PerformerOf); 16600:Yan Su (PerformerOf); 16601:Ebony Acevedo (PerformerOf); 16602:Elizabeth Spence (PerformerOf)
11331,Sovereign's Whisper,Dream Pop,2025,7,1716:Kimberly Snyder (PerformerOf); 1718:Joshua Herring (PerformerOf); 1719:Gerald Mullins (PerformerOf); 1918:Kelly Stewart (PerformerOf); 9031:Erica Walton (PerformerOf); 9032:Matthew Yoder (PerformerOf); 11332:Colleen Frank PhD (PerformerOf)
8498,Spider's Waltz in Minor Key,Space Rock,2024,7,5619:Wei Han (ProducerOf); 6782:Xiulan Tao (PerformerOf); 8499:Min Qin (LyricistOf/PerformerOf); 8500:Li Xia (PerformerOf); 8501:Gang Dong (PerformerOf); 8502:Amanda Sullivan (PerformerOf/ProducerOf); 8503:Jun Hao (PerformerOf)
5204,Syntax of Shadows,Indie Folk,2028,7,5205:John Howe (PerformerOf); 5206:Xiuying Gong (ComposerOf/PerformerOf); 5207:Min Liang (PerformerOf); 5208:Fang Xiao (LyricistOf); 5209:Na Ye (PerformerOf); 5210:Chao Ye (PerformerOf); 5211:Xia Tan (LyricistOf)
13249,The Art of Demolition,Indie Folk,2023,7,888:Gang Shao (LyricistOf); 1276:Yong Dong (ComposerOf); 1277:Min Kong (PerformerOf); 13250:Beth Thompson (PerformerOf); 13251:Li Lai (PerformerOf); 13252:Ming Feng (LyricistOf/PerformerOf); 13253:Na Song (ComposerOf/PerformerOf)
8236,The Last Embrace Before Leaving,Indie Folk,2017,7,288:Gerlind Sager-Ortmann (LyricistOf); 8237:Heinz-Josef Ritter (PerformerOf); 8238:Cornelius Kabus (PerformerOf/ProducerOf); 8239:Anni Bauer (PerformerOf); 8240:Friedo Eberhardt (ComposerOf/PerformerOf); 8241:Sepp Köhler (PerformerOf); 8242:Vadim Killer (ProducerOf)
15890,The Liminal Space,Space Rock,2026,7,8191:David Armstrong (PerformerOf); 8196:Amy Lee (PerformerOf); 8199:Samuel Robertson (ComposerOf/PerformerOf); 14990:Joshua Oneill (PerformerOf); 15891:Matthew Scott (ProducerOf); 15892:Melissa Keller (PerformerOf); 15893:Christopher Flores (PerformerOf)
1195,The Mill Town Monarch,Dream Pop,2026,7,1196:Na Pan (PerformerOf/ProducerOf); 1197:Xia Ding (PerformerOf); 1198:Qiang He (PerformerOf); 1199:Jun Zhang (PerformerOf); 1200:Qiang Zhao (PerformerOf); 1201:Xiuying Fan (ProducerOf); 1202:Emily Nelson (ComposerOf/PerformerOf)
